epoch,HMD_rotation,gaze_forward
1660220686722425,0.8861423822562995,"[0.0, 0.0, 0.0]"
1660220686739430,0.8861084968061823,"[0.0, 0.0, 0.0]"
1660220686755926,0.8861412238427128,"[0.0, 0.0, 0.0]"
1660220686772431,0.88610663915929,"[0.0, 0.0, 0.0]"
1660220686789430,0.8861286534069829,"[0.0, 0.0, 0.0]"
1660220686805927,0.8861121205344473,"[0.0, 0.0, 0.0]"
1660220686822431,0.8860820329138599,"[0.0, 0.0, 0.0]"
1660220686839431,0.8861158255881112,"[0.0, 0.0, 0.0]"
1660220686855928,0.8861035256632929,"[0.0, 0.0, 0.0]"
1660220686872428,0.8861101097969583,"[0.0, 0.0, 0.0]"
1660220686889432,0.8860913805544537,"[0.0, 0.0, 0.0]"
1660220686905929,0.8860834550589486,"[0.0, 0.0, 0.0]"
1660220686922432,0.8860625492488858,"[0.0, 0.0, 0.0]"
1660220686939433,0.8861346017778389,"[0.0, 0.0, 0.0]"
1660220686955933,0.8861478830250912,"[0.0, 0.0, 0.0]"
1660220686972434,0.8861496534859492,"[0.0, 0.0, 0.0]"
1660220686989434,0.8861554431536318,"[0.0, 0.0, 0.0]"
1660220687005934,0.8861766015337436,"[0.0, 0.0, 0.0]"
1660220687022931,0.886215688043527,"[0.0, 0.0, 0.0]"
1660220687039435,0.8862215624151851,"[0.0, 0.0, 0.0]"
1660220687055931,0.8861496395401773,"[0.0, 0.0, 0.0]"
1660220687072431,0.8861553755105382,"[0.0, 0.0, 0.0]"
1660220687089435,0.8861692017208234,"[0.0, 0.0, 0.0]"
1660220687105935,0.886149459069459,"[0.0, 0.0, 0.0]"
1660220687122432,0.8861433291854517,"[0.0, 0.0, 0.0]"
1660220687139436,0.8860854642944491,"[0.0, 0.0, 0.0]"
1660220687155933,0.8860862069217834,"[0.0, 0.0, 0.0]"
1660220687172434,0.8861093211625798,"[0.0, 0.0, 0.0]"
1660220687189434,0.8861266280798878,"[0.0, 0.0, 0.0]"
1660220687205937,0.8861325449484717,"[0.0, 0.0, 0.0]"
1660220687222434,0.8861398939168501,"[0.0, 0.0, 0.0]"
1660220687239437,0.8861319159441536,"[0.0, 0.0, 0.0]"
1660220687255934,0.8861398025308042,"[0.0, 0.0, 0.0]"
1660220687272435,0.886134300713758,"[0.0, 0.0, 0.0]"
1660220687289438,0.8861842735943554,"[0.0, 0.0, 0.0]"
1660220687305939,0.8861353185801191,"[0.0, 0.0, 0.0]"
1660220687322936,0.886186230460246,"[0.0, 0.0, 0.0]"
1660220687339439,0.8862019365970709,"[0.0, 0.0, 0.0]"
1660220687355940,0.8861914072963438,"[0.0, 0.0, 0.0]"
1660220687372437,0.8862015931271915,"[0.0, 0.0, 0.0]"
1660220687389440,0.8861605075919733,"[0.0, 0.0, 0.0]"
1660220687405940,0.8861387875141975,"[0.0, 0.0, 0.0]"
1660220687422437,0.8861259430356566,"[0.0, 0.0, 0.0]"
1660220687439441,0.8861778408642638,"[0.0, 0.0, 0.0]"
1660220687455938,0.8860854084034762,"[0.0, 0.0, 0.0]"
1660220687472939,0.8861249235623152,"[0.0, 0.0, 0.0]"
1660220687489442,0.8861099711320175,"[0.0, 0.0, 0.0]"
1660220687505943,0.8861408348335571,"[0.0, 0.0, 0.0]"
1660220687522939,0.8861496615027566,"[0.0, 0.0, 0.0]"
1660220687539443,0.8861232266873099,"[0.0, 0.0, 0.0]"
1660220687555940,0.8861386688584542,"[0.0, 0.0, 0.0]"
1660220687572440,0.886142104125389,"[0.0, 0.0, 0.0]"
1660220687589443,0.886160668388312,"[0.0, 0.0, 0.0]"
1660220687605940,0.8861057563636969,"[0.0, 0.0, 0.0]"
1660220687622941,0.8861215408995424,"[0.0, 0.0, 0.0]"
1660220687639445,0.8861121764337228,"[0.0, 0.0, 0.0]"
1660220687655941,0.8860802492939501,"[0.0, 0.0, 0.0]"
1660220687672442,0.8861090967667694,"[0.0, 0.0, 0.0]"
1660220687689442,0.886081535744103,"[0.0, 0.0, 0.0]"
1660220687705942,0.886051463526562,"[0.0, 0.0, 0.0]"
1660220687722943,0.886099239661009,"[0.0, 0.0, 0.0]"
1660220687739446,0.8861240704258062,"[0.0, 0.0, 0.0]"
1660220687755943,0.8861272126912136,"[0.0, 0.0, 0.0]"
1660220687772944,0.8860776240432346,"[0.0, 0.0, 0.0]"
1660220687789447,0.8860804116175648,"[0.0, 0.0, 0.0]"
1660220687805944,0.8860910827654485,"[0.0, 0.0, 0.0]"
1660220687822446,0.8860928433610132,"[0.0, 0.0, 0.0]"
1660220687839450,0.886045882257751,"[0.0, 0.0, 0.0]"
1660220687855945,0.8860575149800306,"[0.0, 0.0, 0.0]"
1660220687872449,0.8860569229858718,"[0.0, 0.0, 0.0]"
1660220687889448,0.8860261246876232,"[0.0, 0.0, 0.0]"
1660220687905946,0.8861137875343775,"[0.0, 0.0, 0.0]"
1660220687922946,0.8860941220707014,"[0.0, 0.0, 0.0]"
1660220687939450,0.8861173785392447,"[0.0, 0.0, 0.0]"
1660220687955946,0.8860831024184285,"[0.0, 0.0, 0.0]"
1660220687972451,0.886102128657994,"[0.0, 0.0, 0.0]"
1660220687989450,0.8860834727396272,"[0.0, 0.0, 0.0]"
1660220688005947,0.8860370588828493,"[0.0, 0.0, 0.0]"
1660220688022447,0.8860671449158453,"[0.0, 0.0, 0.0]"
1660220688039451,0.8861184582942935,"[0.0, 0.0, 0.0]"
1660220688055948,0.8861137356256288,"[0.0, 0.0, 0.0]"
1660220688072949,0.8861628615979655,"[0.0, 0.0, 0.0]"
1660220688089452,0.8861138087584449,"[0.0, 0.0, 0.0]"
1660220688105952,0.886165496365965,"[0.0, 0.0, 0.0]"
1660220688122450,0.8862077520506317,"[0.0, 0.0, 0.0]"
1660220688139453,0.8861730626891247,"[0.0, 0.0, 0.0]"
1660220688155954,0.8861459549045259,"[0.0, 0.0, 0.0]"
1660220688172450,0.886145705205346,"[0.0, 0.0, 0.0]"
1660220688189456,0.8861269110363036,"[0.0, 0.0, 0.0]"
1660220688205951,0.8861888460656214,"[0.0, 0.0, 0.0]"
1660220688222951,0.8860837117327541,"[0.0, 0.0, 0.0]"
1660220688239455,0.8861614106431887,"[0.0, 0.0, 0.0]"
1660220688255951,0.886138274067018,"[0.0, 0.0, 0.0]"
1660220688272452,0.8861036183632888,"[0.0, 0.0, 0.0]"
1660220688289455,0.8861060207951106,"[0.0, 0.0, 0.0]"
1660220688305952,0.8861102746263101,"[0.0, 0.0, 0.0]"
1660220688322953,0.8860826108643244,"[0.0, 0.0, 0.0]"
1660220688339456,0.8861404627640199,"[0.0, 0.0, 0.0]"
1660220688355954,0.886160795708628,"[0.0, 0.0, 0.0]"
1660220688372954,0.886180686478529,"[0.0, 0.0, 0.0]"
1660220688389457,0.8861983956264081,"[0.0, 0.0, 0.0]"
1660220688405954,0.8861924529738557,"[0.0, 0.0, 0.0]"
