Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1660219510487363200; True; [24.146364212036133, -66.80756378173828, 0.2985682487487793, -84.292236328125, 0.021747320890426636, 1.2431004047393799]; [13.678963661193848, 0.07492562383413315, 0.0018627814715728164]; True; [-23.8989200592041, -66.81997680664062, 0.29315492510795593, -83.51034545898438, -0.12249260395765305, -0.090179443359375]; [13.885048866271973, 0.0018901512958109379, 0.014369131997227669]
1660219510498359900; True; [24.16202163696289, -67.0398941040039, 0.2985458970069885, -83.15799713134766, 0.03572188690304756, 1.2984745502471924]; [13.677119255065918, 0.06862732768058777, 0.0010269323829561472]; True; [-23.872560501098633, -67.05382537841797, 0.2928382158279419, -83.47525024414062, -0.12289558351039886, -0.0897216647863388]; [13.885009765625, 0.0013860744656994939, 0.014755775220692158]
1660219510508860100; True; [24.181270599365234, -67.26506042480469, 0.29856762290000916, -82.0302963256836, 0.04944373667240143, 1.347535490989685]; [13.684308052062988, 0.060251038521528244, 0.0001294334069825709]; True; [-23.84684944152832, -67.28065490722656, 0.292528361082077, -83.44232177734375, -0.12331905961036682, -0.0895996019244194]; [13.885126113891602, 0.001234587631188333, 0.014637290500104427]
1660219510519859900; True; [24.181270599365234, -67.26506042480469, 0.29856762290000916, -82.0302963256836, 0.04944373667240143, 1.347535490989685]; [13.684308052062988, 0.060251038521528244, 0.0001294334069825709]; True; [-23.84684944152832, -67.28065490722656, 0.292528361082077, -83.44232177734375, -0.12331905961036682, -0.0895996019244194]; [13.885126113891602, 0.001234587631188333, 0.014637290500104427]
1660219510529863600; True; [24.20529556274414, -67.49481201171875, 0.2986363172531128, -80.85102844238281, 0.06358905881643295, 1.3939855098724365]; [13.680732727050781, 0.05582701787352562, -0.0006833957158960402]; True; [-23.820425033569336, -67.51254272460938, 0.29221609234809875, -83.4099349975586, -0.12378351390361786, -0.089752197265625]; [13.885049819946289, 0.0007707100012339652, 0.01515015959739685]
1660219510540360500; True; [24.23373794555664, -67.72370910644531, 0.29875221848487854, -79.64901733398438, 0.07761826366186142, 1.4367069005966187]; [13.682140350341797, 0.04988018795847893, -0.001596751157194376]; True; [-23.79390525817871, -67.74403381347656, 0.2919054627418518, -83.37889862060547, -0.12423430383205414, -0.09020993858575821]; [13.885056495666504, 0.0006482230382971466, 0.015380010940134525]
1660219510551360100; True; [24.23373794555664, -67.72370910644531, 0.29875221848487854, -79.64901733398438, 0.07761826366186142, 1.4367069005966187]; [13.682140350341797, 0.04988018795847893, -0.001596751157194376]; True; [-23.79390525817871, -67.74403381347656, 0.2919054627418518, -83.37889862060547, -0.12423430383205414, -0.09020993858575821]; [13.885056495666504, 0.0006482230382971466, 0.015380010940134525]
1660219510562363600; True; [24.266347885131836, -67.94962310791016, 0.2989144027233124, -78.43720245361328, 0.09131279587745667, 1.4756296873092651]; [13.685358047485352, 0.04385983571410179, -0.0024828098248690367]; True; [-23.767541885375977, -67.9730453491211, 0.2915976047515869, -83.34954071044922, -0.1246919259428978, -0.0908813551068306]; [13.88509750366211, 0.00017823153757490218, 0.015480821020901203]
1660219510573363900; True; [24.266347885131836, -67.94962310791016, 0.2989144027233124, -78.43720245361328, 0.09131279587745667, 1.4756296873092651]; [13.685358047485352, 0.04385983571410179, -0.0024828098248690367]; True; [-23.74045181274414, -68.20719909667969, 0.29128748178482056, -83.32091522216797, -0.12518370151519775, -0.0918273851275444]; [13.885017395019531, 0.00012151852570241317, 0.0160270594060421]
1660219510584360300; True; [24.30443000793457, -68.17985534667969, 0.2991287410259247, -77.17610931396484, 0.10509611666202545, 1.5125033855438232]; [13.681801795959473, 0.03967713564634323, -0.003390962490811944]; True; [-23.74045181274414, -68.20719909667969, 0.29128748178482056, -83.32091522216797, -0.12518370151519775, -0.0918273851275444]; [13.885017395019531, 0.00012151852570241317, 0.0160270594060421]
1660219510594863700; True; [24.347692489624023, -68.41090393066406, 0.2993928790092468, -75.88495635986328, 0.11862672120332718, 1.546695351600647]; [13.681422233581543, 0.03464551270008087, -0.004384747706353664]; True; [-23.713041305541992, -68.44303894042969, 0.2909773886203766, -83.2936019897461, -0.12564131617546082, -0.0929870679974556]; [13.884991645812988, -0.0003262637183070183, 0.016369571909308434]
1660219510605363600; True; [24.347692489624023, -68.41090393066406, 0.2993928790092468, -75.88495635986328, 0.11862672120332718, 1.546695351600647]; [13.681422233581543, 0.03464551270008087, -0.004384747706353664]; True; [-23.713041305541992, -68.44303894042969, 0.2909773886203766, -83.2936019897461, -0.12564131617546082, -0.0929870679974556]; [13.884991645812988, -0.0003262637183070183, 0.016369571909308434]
1660219510615365800; True; [24.39464569091797, -68.6352767944336, 0.2996973395347595, -74.60761260986328, 0.13138550519943237, 1.5771725177764893]; [13.687700271606445, 0.028680812567472458, -0.005276117008179426]; True; [-23.686208724975586, -68.67292022705078, 0.2906719148159027, -83.26848602294922, -0.12606479227542877, -0.0943603590130806]; [13.885091781616211, -0.0007502730004489422, 0.01625138148665428]
1660219510626860500; True; [24.446508407592773, -68.8589859008789, 0.3000478744506836, -73.31061553955078, 0.14372766017913818, 1.6052684783935547]; [13.688302993774414, 0.02422175742685795, -0.006132543087005615]; True; [-23.659217834472656, -68.90319061279297, 0.2903672754764557, -83.24483489990234, -0.1264950931072235, -0.0959167331457138]; [13.885087013244629, -0.0008213937398977578, 0.016514655202627182]
1660219510637860500; True; [24.446508407592773, -68.8589859008789, 0.3000478744506836, -73.31061553955078, 0.14372766017913818, 1.6052684783935547]; [13.688302993774414, 0.02422175742685795, -0.006132543087005615]; True; [-23.659217834472656, -68.90319061279297, 0.2903672754764557, -83.24483489990234, -0.1264950931072235, -0.0959167331457138]; [13.885087013244629, -0.0008213937398977578, 0.016514655202627182]
1660219510648860600; True; [24.504281997680664, -69.08528137207031, 0.3004477620124817, -71.97452545166016, 0.15584442019462585, 1.6315652132034302]; [13.68588924407959, 0.0201960951089859, -0.007130867335945368]; True; [-23.631662368774414, -69.13737487792969, 0.290061354637146, -83.22242736816406, -0.12691856920719147, -0.0976867601275444]; [13.885025024414062, -0.0012525365455076098, 0.01699494756758213]
1660219510658861100; True; [24.56515884399414, -69.3035659790039, 0.30087733268737793, -70.6637954711914, 0.16706642508506775, 1.6547459363937378]; [13.69308090209961, 0.015022560022771358, -0.007973465137183666]; True; [-23.604841232299805, -69.364501953125, 0.28976044058799744, -83.2021713256836, -0.12732155621051788, -0.0995483547449112]; [13.885137557983398, -0.001247106003575027, 0.01678217574954033]
1660219510669366300; True; [24.56515884399414, -69.3035659790039, 0.30087733268737793, -70.6637954711914, 0.16706642508506775, 1.6547459363937378]; [13.69308090209961, 0.015022560022771358, -0.007973465137183666]; True; [-23.604841232299805, -69.364501953125, 0.28976044058799744, -83.2021713256836, -0.12732155621051788, -0.0995483547449112]; [13.885137557983398, -0.001247106003575027, 0.01678217574954033]
1660219510669366300; True; [24.6328067779541, -69.52645111083984, 0.301359087228775, -69.30142974853516, 0.17814499139785767, 1.6766583919525146]; [13.688445091247559, 0.011670264415442944, -0.008931317366659641]; True; [-23.604841232299805, -69.364501953125, 0.28976044058799744, -83.2021713256836, -0.12732155621051788, -0.0995483547449112]; [13.885137557983398, -0.001247106003575027, 0.01678217574954033]
